ID,SC,Level,Synopsis,Understanding,Links,Summary,Environment,Issue,Testing,Screengrab,ProductNote,Labels,Impact,Status,Assignment,Implementation,Notes,JIRA,Estimate
A11YERP001,1.1.1: Non-text Content,A,Provide text alternatives for non-text content,https://www.w3.org/WAI/WCAG22/Understanding/non-text-content,https://referrals.radancy.com/dashboard/jobs/active,Global: Company Logo Missing Alt Attribute and Value,"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS, MacOS, Safari, VoiceOver","The client/company logo in the bottom-left navigation is missing an alt text attribute and value. This is an informative image, so it must be described to the user.
 
 *Before:* 
 
 {code}<img width=""182"" height=""45"" class=""sidenav_footer_logo"" src=""https://api.1brd.com/v1/companies/ce9bf599-f0b4-4a9e-969a-25df747610a9/logo"" style=""border-radius: 3px;"">{code}
 
 *After:* 
 
 {code}<img alt=""Radancy Logo"" width=""182"" height=""45"" class=""sidenav_footer_logo"" src=""https://api.1brd.com/v1/companies/ce9bf599-f0b4-4a9e-969a-25df747610a9/logo"" style=""border-radius: 3px;"">{code}",Ensure that image now includes an alt attribute with proper value. ,https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP001.png,,"ERP_Global_Issue"", ""S4_Low"", ""Effort_Easy""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YERP002,2.4.1: Bypass Blocks,A,Provide a ‘Skip to Content’ link,https://www.w3.org/WAI/WCAG22/Understanding/bypass-blocks,https://referrals.radancy.com/dashboard/jobs/active,Global: Skip LInk is Missing,"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS, MacOS, Safari, VoiceOver","Please ensure that a *Skip Navigation* link is implemented across all pages of the application to bypass interactive elements in the header and primary navigation. Providing such a link is helpful, as it avoids unnecessary tabbing and allows users to access the content more quickly. The same can be said for other components across the site if they exhibit excessive tabbing, but we will revisit those later. For now, just focus on this instance.
 
 *TODO*
 
 1. The link should say *Skip to main content*.
 
 2. The link should be presented visually when the user tabs through the UI. It is often the first item one can tab to in the interface from the address bar. See screengrab for example.
 
 3. Accessing the link should jump the user to the primary content of the page.
 
 4. A simple HTML anchor can be used here. No JavaScript needed. See screengrab.","Review pages and ensure that a ""Skip Navigation"" link is present and operabable upon tabbing through the interface. ",https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP002.mp4,,"ERP_Global_Issue"", ""S4_Low"", ""Effort_Easy""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YERP003,3.1.1: Language of Page,A,Page has a language assigned,https://www.w3.org/WAI/WCAG22/Understanding/language-of-page,https://referrals.radancy.com/dashboard/jobs/active,Global: All ERP Pages Missing Language Declaration,"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS, MacOS, Safari, VoiceOver","The opening _html_ element is missing a _lang_ attribute. 
 
 When configuring a screen reader, users select a default language. If the language of a webpage or app is not specified, the screen reader assumes the default language set by the user. Language settings become an issue for users who speak multiple languages and access website in more than one language. It is essential to specify a language and ensure that it is valid, so website text is pronounced correctly.
 
 Screen readers use different sound libraries for each language, based on the pronunciation and characteristics of that language. Screen readers can switch between these language libraries easily, but only if the documents specify which language(s) to read and when. If the language is not specified, the screen reader reads the document in the user's default language, resulting in a strange accent! It is impossible to understand anything when screen readers are using the wrong language library.","Ensure that a _lang_ attribute is present on the opening HTML element. Be sure that it includes the proper, default language value (en or en-US). If the application is ever tanslated, it must contain proper ISO 639-1 language codes.","https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP003-1.png 

https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP003-2.png ",,"ERP_Global_Issue"", ""S4_Low"", ""Effort_Easy""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YERP004,"4.1.2: Name, Role, Value",A,Build all elements for accessibility,https://www.w3.org/WAI/WCAG22/Understanding/name-role-value,https://referrals.radancy.com/dashboard/jobs/active,Global: Achievements & Notification Disclosures - Require Additional Work,"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS, MacOS, Safari, VoiceOver","The *Achievements* & *Notification* components at the top of all pages require more work. Please coordinate with Michael Spellacy before sprint planning.
 
 *TODO*
 
 1. Ensure that each button receives a focus outline. Using _outline: 0_ or _outline: none_ must always be avoided, unless an alternative outline or state that meets a 3:1 contrast ratio with the background is provided as a replacement. 
 
 2. Ensure that both buttons include an accessible name (accName). 

*Before:* 
 
{code}<button _ngcontent-ng-c53642259="""" type=""button"" appstoppropagation=""click"" class=""dashboard-dropdowns_toggle""> ... </button>{code}
 
*After:* 
 
{code}<button _ngcontent-ng-c53642259="""" aria-label=""Achivements"" type=""button"" appstoppropagation=""click"" class=""dashboard-dropdowns_toggle"">{code}
 
*Note:* Also ensure that _aria-label_ content reflects unread updates. Something like _aria-label=""Achievements (Unread Updates Available)""_ or similar. 
 
 3. Ensure that each button includes a proper state using _aria-expanded_ and be sure that this state toggles between ""true"" and ""false"" when repeatedly pressed. Please note that pressing one button should reset the state of any other button that is already open, etc.
 
{code}<button _ngcontent-ng-c53642259="""" type=""button"" appstoppropagation=""click"" class=""dashboard-dropdowns_toggle""> ... </button>{code}
 
*After:* 
 
{code}<button _ngcontent-ng-c53642259="""" aria-label=""Notifications"" aria-expanded=""false"" type=""button"" appstoppropagation=""click"" class=""dashboard-dropdowns_toggle"">{code}
 
4. Provide escape key support. Pressing the escape key should reset the open component to its closed state. 
 
5. Ensure that links within the open disclosure panel also have a focus outline when being tabbed to. 
 
6. Both the *Achievements* and *Notification* disclosures appear to have inner scrollbars when the application is at certain height. These should likely be removed because the navigation itself already has a scrollbar present. Having two inner scrollbars is problematic and also , when a disclosure contains no interactive content, like a button or link, it must contain a tabindex, along with a an accName and role (region). By removing the scroll here, will not require the attention of these attributes.",Verify that all outlined criteria is now being implemented and that the disclosures are now operating properly. Screen reader and keyboard re-testing will be required here. ,https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP004.png,,"ERP_Global_Issue"", ""S4_Low"", ""Effort_Medium"", ""Specialist_Support""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YERP005,"4.1.2: Name, Role, Value",A,Build all elements for accessibility,https://www.w3.org/WAI/WCAG22/Understanding/name-role-value,https://referrals.radancy.com/dashboard/jobs/active,Global: Carousel Component Requires Additional Overhaul,"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS, MacOS, Safari, VoiceOver","The carousel component on most pages of the application has several glaring accessibility issues. While the carousel can be tabbed to, the focus appears to land out of view or ""under"" the primary content area on the left. This is not acceptable, as people with low vision who also use a keyboard to navigate will not be able to tell where they are. For screen reader users, there are other critical elements that appear to be missing, and there is also improper use of ARIA. Please see screengrab. 
 
A carousel component requires the following key elements to work more broadly and for more users. These are as follows:
 
1. An accessible name (accName), description, and role.
 
2. Navigational buttons must include an accessible name.
 
3. Pressing navigation buttons should indicate that a new slide is in view and which slide one is on (e.g., Data-Driven Recruitment in the Age of AI - Radancy Blog, Slide 3 of 7). Here we will require _aria-live_.
 
4. Tabbing should be confined to the visible slide only. Continuing to tab should bring the user to navigation buttons or to other components on the page. Focus should not land on any hidden content.
 
5. Links within the slide should be more discernible (they should also be link--not buttons). We can use _aria-describedby_ to link the blog post title if we want.
 
6. Links that open in new windows should indicate the same to assistive technology as well. Either use an image with alt text or visually hidden text. 
 
7. On mobile devices, arrow buttons must be present. 
 
Please review the example posted in the delivery component library, as it will help guide product during remediation. See https://radancy.dev/component-library/carousel/  
 
Alternatively, we may also wish to see if Angular has a better-built carousel component available. However, it should be reviewed _carefully_ before integrating it into the product.
 
Please reach out to Michael Spellacy before moving forward with this in a future sprint. I think the team would benefit from speaking about the issues first and working together to come up with a proper solution for this component.",TBD,https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP005.mp4,,"ERP_Global_Issue"", ""S4_Low"", ""Effort_Difficult"", ""Specialist_Support""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YERP006,1.4.4: Resize text,AA,Text can be resized to 200% without loss of content or function,https://www.w3.org/WAI/WCAG22/Understanding/resize-text,https://referrals.radancy.com/dashboard/jobs/active,Global: Meta Element Parameter Restricing Page Zoom,"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS, MacOS, Safari, VoiceOver","The _user-scalable=""no""_ parameter inside the content attribute of _<meta name=""viewport"">_ element disables zooming on a page. The _maximum-scale parameter_ limits the amount the user can zoom. This is problematic for people with low vision who rely on screen magnifiers to properly see the contents of a web page. To remedy, please remove _user-scalable=""no""_. 
 
 *Before:* 
 
 {code}<meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no, viewport-fit=cover"">{code} 
 
 *After:* 
 
 {code{<meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1, viewport-fit=cover"">{code}","Verify that _user-scalable=""no""_ has been removed. Validate in Axe and also test with screen mgnification or mobile to see if user can zoom, etc.  ",https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP006.png,,"ERP_Global_Issue"", ""S4_Low"", ""Effort_Easy""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YERP007,2.4.7: Focus Visible,AA,Ensure keyboard focus is visible and clear,https://www.w3.org/WAI/WCAG22/Understanding/focus-visible,https://referrals.radancy.com/dashboard/jobs/active,Global: Multiple Interactive Elements Missing Focus Outline or Focus Outline Fails Contrast,"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS, MacOS, Safari, VoiceOver","Rather than call the same issue out in every component or page across application, the product team would do well to inventory *all* of their CSS and remove *all instances* of _outline: 0_ and/or _outline: none_. Allowing, for now, the browser's default outline to be revealed when a user tabs to an interactive element. Product will also need to ensure that shared stylesheets used by the app, also do not contain these supressive properties. 
 
In addition to restoring the native focus state, the team should also remove custom outlines that are present. Not only do these not meet the needed 3:1 contrast ratio with its background color, they create an inconsistent experience with native focus states that are (and will be) now common across the application.",Verify that these properties no longer exist in CSS and tab through all interactions to see if browser's default outline is present and consistent. ,"https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP007-A.png 

https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP007-B.png 

https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP007-C.png 

https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP007-D.png 

https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP007-E.png 

https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP007-F.png ",,"ERP_Global_Issue"", ""S4_Low"", ""Effort_Medium""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YERP008,1.3.1: Info and Relationships,A,"Semantic markup is used appropriately. Logical structure, etc. ", https://www.w3.org/WAI/WCAG22/Understanding/info-and-relationships ,https://referrals.radancy.com/dashboard/jobs/active,Global: Landmarks Used or Nested Inappropiately,"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS, MacOS, Safari, VoiceOver","Most pages across the application appear to have structural landmark issues. Proper usage of landmark elements aids assistive technology users in navigating the page and help them understand where they are within structure of the page.
 
For example, the _main_ element in use should wrap the whole page and there is also another element on the page with _role=""main""_, which should likely be removed, as there can only be one _main_ element per-page. 

Before proceeding, please assign ticket back to Michael Spellacy for further analysis and guidance on next steps before sprint.",TBD,https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP008.png,,"ERP_Global_Issue"", ""S4_Low"", ""Effort_Medium"", ""Specialist_Support""",Serious,Fail,Product Support,Failed in Preview,,,0
A11YERP009,1.3.1: Info and Relationships,A,"Semantic markup is used appropriately. Logical structure, etc. ", https://www.w3.org/WAI/WCAG22/Understanding/info-and-relationships ,"https://referrals.radancy.com/dashboard/jobs/active 

https://referrals.radancy.com/dashboard/my-referrals 

https://referrals.radancy.com/dashboard/my-rewards 

https://hyperdriveinnovations.qa-1brd.com/dashboard/content-sharing ",Global: Multiple Pages Missing Primary Heading (H1),"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS, MacOS, Safari, VoiceOver","Please add an _h1_ element to each page cited. For example, on the *Jobs* page, add: 
 
{code}<h1>Jobs</h1>{code}
 
*Note:* Adding a new heading to the page or changing it can cause a cascading heading failure, so please ensure that other headings on the page are not being skipped or are out of order due to such changes. If they are, these headings will need to be adjusted, too. For example, the *Filters* heading will need to be changed to an _h2_.",Ensure that primary headings exist on all pages and that subsequent headings are not skipped. Be sure to run Axe as it will indicate if these are still issues. ,https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP009.png,,"ERP_Global_Issue"", ""S4_Low"", ""Effort_Easy""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YERP010,1.3.1: Info and Relationships,A,"Semantic markup is used appropriately. Logical structure, etc. ", https://www.w3.org/WAI/WCAG22/Understanding/info-and-relationships ,"https://referrals.radancy.com/dashboard/leaderboard 

https://referrals.radancy.com/dashboard/my-settings/profile 

https://hyperdriveinnovations.qa-1brd.com/dashboard/statistics/general 

https://hyperdriveinnovations.qa-1brd.com/dashboard/job-form 

https://referrals.radancy.com/dashboard/reward-policy ",Global: Multiple Page Using Secondary Heading as Primary Heading,"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS, MacOS, Safari, VoiceOver","Please change the _h2_ used as a primary heading to an _h1_. For example: 
 
*Before:*
 
{code}<h2>Leaderboard</h2>{code}
 
*After:* 
 
{code}<h1>Leaderboard</h1>{code}
 
*Note:* Adding a new heading to the page or changing it can cause a cascading heading failure, so please ensure that other headings on the page are not being skipped or are out of order due to such changes. If they are, these headings will need to be adjusted, too. For example, the *Filters* heading will need to be changed to an _h2_.
 
*Important:* Headings should _never_ be hidden on smaller screens. We do not sacrifice semantics for aesthetics at Radancy. Please remove the *class=""hide-tablet""*.",Ensure that primary headings exist on all pages and that subsequent headings are not skipped. Be sure to run Axe as it will indicate if these are still issues. ,https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP010.png,,"ERP_Global_Issue"", ""S4_Low"", ""Effort_Easy""",Critical,Fail,Product Support,Failed in Preview,,,0
