ID,SC,Level,Synopsis,Understanding,Links,Summary,Environment,Issue,Testing,Screengrab,ProductNote,Labels,Impact,Status,Assignment,Implementation,Notes,JIRA,Estimate
"A11YCHAT001",2.1.1: Keyboard,A,Accessible by keyboard only,https://www.w3.org/WAI/WCAG22/Understanding/keyboard,"https://app.brazenconnect.com/app/events/lxZvL#!booth;eventCode=lxZvL;boothCode=booth-1   (Session Only)


https://app.brazenconnect.com/app/events/LrqwkhD#!booth;eventCode=LrqwkhD;boothCode=content-only  ",Tabindex Found on Non-Interactive Element,"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","On the ""Can't chat right now? Leave a Note"", ""Representative"", and ""End Chat"" components, please remove _tabindex=""0""_ from their surrounding container(s). 

As has been discovered elsewhere across the application, we appear to have a lot of non-interactive elements that contain _tabindex=""0""_. When we apply these unnecessarily, we can create confusion and unnecessary tab stops when navigating via keyboard. Not everything requires a tabindex. While not all of them have been discovered yet, let this serve as a reminder for the team that if they do come across more of these, that they will also likely need to be removed. 

As an additional reminder, elements should _only_ contain a tabindex of *-1* for _temporary_ focus and a tabindex of *0* if the component is custom and include a _role_ and _accessible name_.",Verify that extraneous _tabindex_ is removed and that element no longer received focus when tabbing.,"https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT001-1.png 

https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT001-2.png 

https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT001-3.png 

https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT001-2.png 

https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT001-5.png 

https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT001-6.png 

https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT001-7.png 

https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT001-8.png 

https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT001-9.png 
",,"""HE_Chat"", ""S4_Low"", ""Effort_Easy"", ""Issue_Tabindex""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YCHAT002,2.5.3: Label In Name,A,Let the visual label for controls be a trigger for speech activation.,https://www.w3.org/WAI/WCAG22/Understanding/label-in-name,https://app.brazenconnect.com/app/events/LrqwkhD#!booth;eventCode=LrqwkhD;boothCode=text-chat  (Session Only),"""Chat"" Button and ""Not Waiting to Chat"" Label Require Improvement","Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","The ""Chat"" button appears to be reading out unnecessary information and likely could be implemented much better. The status can be determined by the element adjacent to the button, so consider the following revisions instead: 

*Before* 

{code}<button type=""button"" class=""btn btn-material btn-sm btn-success"" aria-label=""Your status in Booth 1 is Not waiting to chat. Click Chat to start."" id=""BOOTH_GET_IN_LINE_BUTTON""><span>Chat</span> … </button>{code} 

*After* 

{code}<span id=""chat-status"">Status: Not Waiting to Chat</span> 

<button type=""button"" class=""btn btn-material btn-sm btn-success"" aria-describedby=""chat-status"" id=""BOOTH_GET_IN_LINE_BUTTON""><span>Chat</span> … </button>{code} 

*TODO* 

1. Add a unique ID to the Chat Status. In this example, we use _chat-status_. 

2. Remove _aria-label_ from _button_ and add _aria-describedby=""chat-status""_. This will also aid eventual internationalization efforts.

Lastly, is this tooltip that appears when hovering over ""Not Waiting to Chat"" even necessary? If not, can we please remove it as it seems to only duplicate what can already be found in the label of the component.","Verify that button is reading back properly, and that ARIA is implemented in a more intuitive manner.","https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT002-1.png 

https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT002-2.png 
",,"""HE_Chat"", ""S4_Low"", ""Effort_Medium"", ""Issue_Tooltips""",Serious,Fail,Product Support,Failed in Preview,,,0
A11YCHAT003,2.1.1: Keyboard,A,Accessible by keyboard only,https://www.w3.org/WAI/WCAG22/Understanding/keyboard,https://app.brazenconnect.com/app/events/lxZJn#!booth;eventCode=lxZJn;boothCode=booth-1 (Session Only) ,"Tooltip ""Close"" Button Not Keyboard Accessible","Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","The ""Close"" button is not accessible to keyboard users. This is a low priority fix, since the tooltip itself that the button is contained in, is not keyboard accessible, for now though, just remove _tabindex=""-1""_ from the link element.",Verify that extraneous _tabindex_ is removed and that the element can now receive focus when tabbing.,"https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT003.png",,"""HE_Chat"", ""S4_Low"", ""Effort_Easy"", ""Issue_Tabindex"", ""Issue_Tooltips""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YCHAT005,2.1.1: Keyboard,A,Accessible by keyboard only,https://www.w3.org/WAI/WCAG22/Understanding/keyboard,https://app.brazenconnect.com/app/events/LrqwkhD#!booth;eventCode=LrqwkhD;boothCode=text-chat  (Session Only),"""Your Snippets"" Dialog Includes Extraneous Tab Stops","Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","The ""Your Snippets"" dialog is peculiar in its content. What I was expecting to be an example of the feature, using an image to cite how to save snippets, appears to be *actual* code that can be tabbed through, but not used, leading to confusion. While I did see _aria-hidden=""true""_ in abundant use (maybe more than needed), more care needs to be taken to hide interactive elements from keyboard users by using _tabindex=""-1""_. While I do see _tabindex_ in use on parent button elements, this appears to be a misunderstanding of how to properly hide interactive elements from keyboard users. For example, we have the following: 

{code}<div class=""message-actions-wrapper"" tabindex=""-1"" aria-hidden=""true"">

    <div class=""snippet-add"">

        <button type=""button"" class=""btn btn-default""></button>

    </div>

    <div class=""snippet-disabled"">

        <button type=""button"" class=""btn btn-default"" data-original-title="""" title=""""></button>

    </div>

</div>{code}

Here, the _tabindex_ lives on the parent element. This will not hide the code from keyboard jockeys. What it should be in order to properly bypass keyboard tabbing:

{code}<div class=""message-actions-wrapper"" aria-hidden=""true"">

    <div class=""snippet-add"">

        <button type=""button"" class=""btn btn-default"" tabindex=""-1""></button>

    </div>

    <div class=""snippet-disabled"">

        <button type=""button"" class=""btn btn-default"" data-original-title="""" title="""" tabindex=""-1""></button>

    </div>

</div>{code}

*TODO*

1. Review code block being produced for the snippets example and remove unnecessary use of _aria-hidden=""true""_. Placing it once,on the outermost element is all that is needed. Anything else is overkill. 

2. Remove _tabindex=""-1""_ from any outer elements and place them directly on the interactive element, as in the example above. 

In addition to this, there are also _div_ elements within this content that accept keyboard focus that should not be. For example: 

{code}<div class=""chat-message-section chat-me hidden-xs"" tabindex=""0"">

…

</div>{code}

*TODO*

1. Please ensure that non-interactive elements do not contain _tabindex=""0""_.","Verify that extraneous _tabindexes_ are removed and placed on correct, interactive elements and that the elements do not receive focus when tabbing.","https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT005-1.png 

https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT005-2.png 
",,"""HE_Chat"", ""S4_Low"", ""Effort_Medium"", ""Issue_Tabindex""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YCHAT006,3.3.2: Labels or Instructions,A,Label elements and give instructions,https://www.w3.org/WAI/WCAG22/Understanding/labels-or-instructions,https://app.brazenconnect.com/app/events/LrqwkhD#!booth;eventCode=LrqwkhD;boothCode=text-chat  (Session Only),Send Message Button In Live Chat Does Not Include Accessible Name,"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","The ""Chat"" button in the Live Chat component is missing an accessible name. Please include a label, like ""Send Message"", on the button, via _aria-label_. For example: 

{code}<button aria-label=""Send Message""></button>{code}",Verify that _button_ includes a proper accName.,"https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT006.png",,"""HE_Chat"", ""S4_Low"", ""Effort_Easy"", ""Issue_accName""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YCHAT007,2.1.1: Keyboard,A,Accessible by keyboard only,https://www.w3.org/WAI/WCAG22/Understanding/keyboard,https://app.brazenconnect.com/app/events/LrqwkhD#!booth;eventCode=LrqwkhD;boothCode=text-chat  (Session Only),"""Simultaneous Chats"" Select Field Not Accessible to Keyboard","Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","The ""Simultaneous Chats"" _select_ dropdown appears to be inaccessible to keyboard users. I was unable to tab to it due to the presence of _tabindex=""-1""_. Please remove this attribute from the dropdown.",Verify that extraneous _tabindex_ is removed and that the element can now receive focus when tabbing.,"https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT007.png",,"""HE_Global_Issue"", ""HE_Chat"", ""S4_Low"", ""Effort_Easy"", ""Issue_Tabindex""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YCHAT008,2.1.1: Keyboard,A,Accessible by keyboard only,https://www.w3.org/WAI/WCAG22/Understanding/keyboard,https://app.brazenconnect.com/app/events/LrqwkhD#!booth;eventCode=LrqwkhD;boothCode=text-chat  (Session Only),Tabindex Found on Non-Interactive Element,"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","The ""Settings"" area of the chat includes _tabindex=""0""_ on _div[class=""settings-area""]_. Please remove this. Non-interactive elements must not be accessible to keyboard users unless they include a role and accessible name.",Verify that extraneous _tabindex_ is removed and that the element no longer received focus when tabbing.,"https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT008.png",,"""HE_Global_Issue"", ""HE_Chat"", ""S4_Low"", ""Effort_Easy"", ""Issue_Tabindex""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YCHAT009,3.3.2: Labels or Instructions,A,Label elements and give instructions,https://www.w3.org/WAI/WCAG22/Understanding/labels-or-instructions,https://app.brazenconnect.com/app/events/LrqwkhD#!booth;eventCode=LrqwkhD;boothCode=text-chat  (Session Only),"""Chat Availability"" Toggle Missing Accessible Name","Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","The ""Chat Availability"" toggle is missing an accessible name. Please add an accessible name to the label element via the _for_ attribute.

*Before*

{code}<div class=""live-chat-availability-widget"">

    <label class=""control-label"">Chat availability (Away)</label>

    ….

    <input type=""checkbox"" value=""on"" role=""switch"" accesskey=""a"" id=""EVENT_ACCEPTING_CHATS_TOGGLE"">

</div>{code}

*After*

{code}<div class=""live-chat-availability-widget"">

    <label class=""control-label"" for=""EVENT_ACCEPTING_CHATS_TOGGLE"">Chat availability (Away)</label>

    ….

    <input type=""checkbox"" value=""on"" role=""switch"" accesskey=""a"" id=""EVENT_ACCEPTING_CHATS_TOGGLE"">

</div>{code}

Related to A11YGLOBAL015.",Verify that that input now has an accName and that issue is no longer being cited in Axe automation.,"https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT009.png",,"""HE_Chat"", ""S4_Low"", ""Effort_Easy"", ""Issue_ToggleSwitch"", ""Issue_accName""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YCHAT010,2.1.1: Keyboard,A,Accessible by keyboard only,https://www.w3.org/WAI/WCAG22/Understanding/keyboard,https://app.brazenconnect.com/app/events/LrqwkhD#!booth;eventCode=LrqwkhD;boothCode=text-chat  (Session Only),"""Chat Availability"" Switch Should Be Rebuilt","Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","""HE_SearchBooth"", ""S4_Low"", ""Effort_Easy"", ""Issue_Dialog"", ""Specialist_Support""",TBD,"https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT010.png",,"""HE_Chat"", ""S4_Low"", ""Effort_Difficult"", ""Issue_ToggleSwitch"", ""Specialist_Support""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YCHAT011,2.1.1: Keyboard,A,Accessible by keyboard only,https://www.w3.org/WAI/WCAG22/Understanding/keyboard,https://app.brazenconnect.com/app/events/LrqwkhD#!booth;eventCode=LrqwkhD;boothCode=text-chat  (Session Only),"""Final Thoughts"" and ""Notes"" Fields Missing Accessible Name and Supplemental Info Associations","Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","The ""Chat has ended: Final Thoughts and Notes"" fields have visible labels not associated with their text fields. Placeholder text gets overwritten and does not satisfy this guideline. Please ensure that each label is programmatically tied to each input field. 

Supplemental information, such as ""The notes will only be visible to you,"" also need to be programmatically tied to the field it is associated with via _aria-describedby_. For example: 

{code}<label for=""notes"">Notes</label>

…

<p id=""note-msg"">The notes will only be visible to you.</p>

<textarea aria-describedby=""note-msg"" id=""notes"" …></textarea>{code}",Verify that field(s) include an accName and that supplemental information is properly tied to field.,"https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT011.png",,"""HE_Chat"", ""S4_Low"", ""Effort_Easy"", ""Issue_accName""",Critical,Fail,Product Support,Failed in Preview,,,0
